Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,221006,Capital Goods,Electrical Products
AACQ,Artius Acquisition Inc. Class A Common Stock,United States,2020,544179,Finance,Business Services
AAL,American Airlines Group Inc. Common Stock,United States,,15753801,Transportation,Air Freight/Delivery Services
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,74356,Miscellaneous,Diversified Commercial Services
AAON,AAON Inc. Common Stock,United States,,17941,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States,,188758,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,United States,1980,56902386,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,45527,Consumer Services,Real Estate Investment Trusts
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,103671,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,United States,,219164,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,United States,2012,1711407,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,,156208,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,United States,1994,64884,Finance,Major Banks
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,26482,Consumer Services,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,,48215,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,United States,,59073,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,3427643,Capital Goods,Industrial Machinery/Components
ABR,Arbor Realty Trust Common Stock,United States,2004,513721,Consumer Services,Real Estate Investment Trusts
ABT,Abbott Laboratories Common Stock,United States,,1107964,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,5279,Finance,Major Banks
AC,Associated Capital Group Inc. Common Stock,United States,2015,808,Finance,Investment Bankers/Brokers/Service
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,378779,Health Care,Major Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,6096,,
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,7080,Finance,Major Banks
ACC,American Campus Communities Inc Common Stock,United States,2004,139766,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,United States,2020,218305,,
ACCO,Acco Brands Corporation Common Stock,United States,,173359,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,United States,2017,74898,Consumer Services,Recreational Products/Toys
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,41372,Health Care,Hospital/Nursing Management
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,328173,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A Common Stock,United States,2020,610562,,
ACIW,ACI Worldwide Inc. Common Stock,United States,,229632,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,175062,Technology,Industrial Machinery/Components
ACM,AECOM Common Stock,United States,2007,239171,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,222122,Technology,Industrial Machinery/Components
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,United States,2020,19699,Finance,Business Services
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,181454,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,218057,Health Care,Major Pharmaceuticals
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,United States,2020,879822,Finance,Business Services
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,9983,,
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,276642,Technology,EDP Services
ADBE,Adobe Inc. Common Stock,United States,1986,684927,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,47302,Consumer Services,Real Estate Investment Trusts
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,2021,4461,,
ADI,Analog Devices Inc. Common Stock,United States,,1638858,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,United States,,466653,,
ADP,Automatic Data Processing Inc. Common Stock,United States,,554931,Miscellaneous,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,368564,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADS,Alliance Data Systems Corporation Common Stock,United States,2001,174204,Finance,Diversified Financial Services
ADSK,Autodesk Inc. Common Stock,United States,,309735,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,2018,1269167,Consumer Services,Diversified Commercial Services
ADTN,ADTRAN Inc. Common Stock,United States,1994,64444,Capital Goods,Telecommunications Equipment
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,13078,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,56806,Technology,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,985695,Health Care,Major Pharmaceuticals
ADX,Adams Diversified Equity Fund Inc.,United States,,135691,,
AEE,Ameren Corporation Common Stock,United States,,356426,Public Utilities,Power Generation
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,United States,,5048,,
AEGN,Aegion Corp Common Stock,United States,,29083,Basic Industries,Water Supply
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,97516,Consumer Durables,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,United States,2003,59544,Finance,Life Insurance
AEO,American Eagle Outfitters Inc. Common Stock,United States,,746145,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,United States,,1386157,Public Utilities,Electric Utilities: Central
AERI,Aerie Pharmaceuticals Inc. Common Stock,United States,2013,75600,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation Common Stock,United States,,1230363,Public Utilities,Electric Utilities: Central
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,19602,,
AFG,American Financial Group Inc. Common Stock,United States,,74952,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,United States,2020,37131,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFIN,American Finance Trust Inc. Class A Common Stock,United States,,91633,Consumer Services,Real Estate Investment Trusts
AFL,AFLAC Incorporated Common Stock,United States,,683987,Finance,Accident &Health Insurance
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,3381317,Technology,EDP Services
AGC,Altimeter Growth Corp. Class A Ordinary Shares,United States,2020,521264,Finance,Business Services
AGCO,AGCO Corporation Common Stock,United States,,190249,Capital Goods,Industrial Machinery/Components
AGEN,Agenus Inc. Common Stock,United States,2000,531098,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,118473,Health Care,Major Pharmaceuticals
AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States,2016,27586,Health Care,Major Pharmaceuticals
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,17835,Finance,Finance Companies
AGNC,AGNC Investment Corp. Common Stock,United States,2008,2657078,Consumer Services,Real Estate Investment Trusts
AGR,Avangrid Inc. Common Stock,United States,2015,111257,Public Utilities,Electric Utilities: Central
AGS,PlayAGS Inc. Common Stock,United States,2018,81825,Consumer Services,Recreational Products/Toys
AGX,Argan Inc. Common Stock,United States,,8382,Capital Goods,Oilfield Services/Equipment
AGYS,Agilysys Inc. Common Stock,United States,,39385,Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp. Class A Common Stock,United States,2018,364485,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,28762,Consumer Services,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,6483558,Consumer Services,Real Estate Investment Trusts
AIG,American International Group Inc. New Common Stock,United States,,892808,Finance,Life Insurance
AIMC,Altra Industrial Motion Corp. Common Stock,United States,2006,90989,Capital Goods,Industrial Machinery/Components
AIN,Albany International Corporation Common Stock,United States,,9608,Basic Industries,Textiles
AINV,Apollo Investment Corporation Common Stock,United States,2004,138816,Finance,Finance/Investors Services
AIR,AAR Corp. Common Stock,United States,,61317,Capital Goods,Aerospace
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,79604,Capital Goods,Industrial Machinery/Components
AIV,Apartment Investment and Management Company Common Stock,United States,1994,679122,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,2004,77344,Finance,Specialty Insurers
AJAX,Ajax I Class A Ordinary Shares,United States,2020,220013,Finance,Business Services
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,98298,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,,87805,Capital Goods,Military/Government/Technical
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,348659,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,1624729,Health Care,Major Pharmaceuticals
AKR,Acadia Realty Trust Common Stock,United States,,157386,Consumer Services,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,65779,Health Care,Major Pharmaceuticals
AKTS,Akoustis Technologies Inc. Common Stock,United States,,314085,Public Utilities,Telecommunications Equipment
AKUS,Akouos Inc. Common Stock,United States,2020,19585,Consumer Durables,Specialty Chemicals
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,92151,Capital Goods,Medical Specialities
AL,Air Lease Corporation Class A Common Stock,United States,2011,267181,Technology,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,United States,,205799,Basic Industries,Industrial Specialties
ALBO,Albireo Pharma Inc. Common Stock,United States,,44416,Health Care,Major Pharmaceuticals
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,236521,Health Care,Major Pharmaceuticals
ALE,Allete Inc.,United States,,18597,Public Utilities,Power Generation
ALEC,Alector Inc. Common Stock,United States,2019,109251,Health Care,Major Pharmaceuticals
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,,43716,Consumer Services,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,United States,,2393,Capital Goods,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,United States,2020,287370,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,2001,208222,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,United States,2020,15680,Health Care,Major Pharmaceuticals
ALGT,Allegiant Travel Company Common Stock,United States,2006,38241,Transportation,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,United States,2021,65211,Health Care,Medical Specialities
ALK,Alaska Air Group Inc. Common Stock,United States,,429478,Transportation,Air Freight/Delivery Services
ALKT,Alkami Technology Inc. Common Stock,United States,2021,21583,Technology,EDP Services
ALL,Allstate Corporation (The) Common Stock,United States,,638616,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,United States,2013,81626,Consumer Services,Diversified Commercial Services
ALLK,Allakos Inc. Common Stock,United States,2018,50675,Health Care,Major Pharmaceuticals
ALLO,Allogene Therapeutics Inc. Common Stock,United States,2018,495857,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLY,Ally Financial Inc. Common Stock,United States,2014,1026707,Finance,Diversified Financial Services
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004,110070,Health Care,Major Pharmaceuticals
ALRM,Alarm.com Holdings Inc. Common Stock,United States,2015,42487,Technology,Computer Software: Prepackaged Software
ALRS,Alerus Financial Corporation Common Stock,United States,2019,2403,Finance,Commercial Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,2012,189420,Capital Goods,Auto Parts:O.E.M.
ALT,Altimmune Inc. Common Stock,United States,,291675,Health Care,Major Pharmaceuticals
ALTA,Altabancorp Common Stock,United States,2015,11225,Finance,Major Banks
ALTM,Altus Midstream Company Class A Common Stock,United States,2017,7198,Energy,Oil & Gas Production
ALTO,Alto Ingredients Inc. Common Stock,United States,,721120,Basic Industries,Industrial Specialties
ALTR,Altair Engineering Inc. Class A Common Stock,United States,2017,54103,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp. Class A Common Stock,United States,2021,289511,,
ALVR,AlloVir Inc. Common Stock,United States,2020,77350,Health Care,Major Pharmaceuticals
ALX,Alexander's Inc. Common Stock,United States,,1359,Consumer Services,Real Estate Investment Trusts
ALXN,Alexion Pharmaceuticals Inc. Common Stock,United States,1996,648960,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ALXO,ALX Oncology Holdings Inc. Common Stock,United States,2020,43612,Health Care,Major Pharmaceuticals
AM,Antero Midstream Corporation Common Stock,United States,2017,1163642,Public Utilities,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,2018,6062,Finance,Commercial Banks
AMAT,Applied Materials Inc. Common Stock,United States,1972,6543036,Capital Goods,Industrial Machinery/Components
AMBA,Ambarella Inc. Ordinary Shares,United States,2012,209091,Technology,Semiconductors
AMBC,Ambac Financial Group Inc. Common Stock,United States,,137199,Finance,Property-Casualty Insurers
AMCX,AMC Networks Inc. Class A Common Stock,United States,,64641,Consumer Services,Broadcasting
AMD,Advanced Micro Devices Inc. Common Stock,United States,,20599694,Technology,Semiconductors
AME,AMETEK Inc.,United States,,137126,Consumer Durables,Metal Fabrications
AMED,Amedisys Inc Common Stock,United States,,14885,Health Care,Medical/Nursing Services
AMEH,Apollo Medical Holdings Inc. Common Stock,United States,,17025,Health Care,Managed Health Care
AMG,Affiliated Managers Group Inc. Common Stock,United States,,46192,Finance,Investment Managers
AMGN,Amgen Inc. Common Stock,United States,1983,664949,Health Care,Major Pharmaceuticals
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,2019,14561,Finance,Finance/Investors Services
AMKR,Amkor Technology Inc. Common Stock,United States,1998,405602,Technology,Semiconductors
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,United States,,87811,Health Care,Assisted Living Services
AMNB,American National Bankshares Inc. Common Stock,United States,,4325,Finance,Major Banks
AMOT,Allied Motion Technologies Inc.,United States,,7270,Capital Goods,Electrical Products
AMP,Ameriprise Financial Inc. Common Stock,United States,,239659,Finance,Investment Managers
AMPE,Ampio Pharmaceuticals Inc.,United States,,330542,Health Care,Major Pharmaceuticals
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,2014,63211,Health Care,Major Pharmaceuticals
AMRC,Ameresco Inc. Class A Common Stock,United States,2010,142010,Basic Industries,Water Supply
AMRK,A-Mark Precious Metals Inc. Common Stock,United States,,18729,Finance,Investment Bankers/Brokers/Service
AMRS,Amyris Inc. Common Stock,United States,2010,2432863,Basic Industries,Industrial Specialties
AMSC,American Superconductor Corporation Common Stock,United States,1991,90127,Capital Goods,Office Equipment/Supplies/Services
AMSF,AMERISAFE Inc. Common Stock,United States,2005,6416,Finance,Accident &Health Insurance
AMSWA,American Software Inc. Class A Common Stock,United States,,5975,Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT) Common Stock,United States,,450127,Finance,Trusts Except Educational Religious and Charitable
AMTB,Amerant Bancorp Inc. Class A Common Stock,United States,,15187,Finance,Major Banks
AMTBB,Amerant Bancorp Inc. Class B Common Stock,United States,,102,Finance,Major Banks
AMTI,Applied Molecular Transport Inc. Common Stock,United States,2020,57811,Consumer Durables,Specialty Chemicals
AMTX,Aemetis Inc. Common Stock,United States,,454208,Energy,Oilfield Services/Equipment
AMWD,American Woodmark Corporation Common Stock,United States,1986,12815,Consumer Durables,Building Products
AMWL,American Well Corporation Class A Common Stock,United States,2020,1077653,Technology,Retail: Computer Software & Peripheral Equipment
AMZN,Amazon.com Inc. Common Stock,United States,1997,1742528,Consumer Services,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,United States,,274188,Consumer Services,Other Specialty Stores
ANAB,AnaptysBio Inc. Common Stock,United States,2017,40308,Health Care,Major Pharmaceuticals
ANAT,American National Group Inc. Common Stock,United States,,4049,Finance,Life Insurance
ANDE,Andersons Inc. (The) Common Stock,United States,,43799,Consumer Non-Durables,Tobacco
ANF,Abercrombie & Fitch Company Common Stock,United States,,500257,Consumer Services,Clothing/Shoe/Accessory Stores
ANGI,Angi Inc. Class A Common Stock,United States,,332514,Technology,EDP Services
ANGN,Angion Biomedica Corp. Common Stock,United States,2021,10591,Health Care,Major Pharmaceuticals
ANGO,AngioDynamics Inc. Common Stock,United States,2004,33704,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,United States,,18434,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,United States,,38347,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANNX,Annexon Inc. Common Stock,United States,2020,19652,Health Care,Major Pharmaceuticals
ANSS,ANSYS Inc. Common Stock,United States,1996,159090,Technology,Computer Software: Prepackaged Software
ANTM,Anthem Inc. Common Stock,United States,,169747,Health Care,Medical Specialities
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,United States,2007,109598,,
AON,Aon plc Class A Ordinary Shares (Ireland),United States,,318742,Finance,Specialty Insurers
AOS,A.O. Smith Corporation Common Stock,United States,,127816,Capital Goods,Industrial Machinery/Components
AOUT,American Outdoor Brands Inc. Common Stock ,United States,,37547,,
APA,APA Corporation Common Stock,United States,,2675874,Energy,Oil & Gas Production
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,2013,141096,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,United States,,319966,Basic Industries,Major Chemicals
APEI,American Public Education Inc. Common Stock,United States,2007,184292,Miscellaneous,Other Consumer Services
APH,Amphenol Corporation Common Stock,United States,,590646,Capital Goods,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,United States,2015,518298,Consumer Services,Real Estate Investment Trusts
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,2017,352182,Health Care,Major Pharmaceuticals
APLT,Applied Therapeutics Inc. Common Stock,United States,2019,11275,Health Care,Major Pharmaceuticals
APO,Apollo Global Management Inc. Class A Common Stock,United States,2011,602290,Finance,Investment Managers
APOG,Apogee Enterprises Inc. Common Stock,United States,,98381,,
APP,Applovin Corporation Class A Common Stock,United States,2021,385118,Technology,EDP Services
APPF,AppFolio Inc. Class A Common Stock,United States,2015,168511,Technology,EDP Services
APPH,AppHarvest Inc. Common Stock,United States,2020,780371,,
APPN,Appian Corporation Class A Common Stock,United States,2017,389855,Technology,EDP Services
APPS,Digital Turbine Inc. Common Stock,United States,,2130729,Technology,Computer Software: Prepackaged Software
APR,Apria Inc. Common Stock,United States,2021,6164,Health Care,Medical/Dental Instruments
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,United States,2020,52666,Finance,Business Services
APTS,Preferred Apartment Communities Inc. Common Stock,United States,2011,187521,Consumer Services,Real Estate Investment Trusts
APXT,Apex Technology Acquisition Corporation Class A Common Stock,United States,2019,607364,,
APYX,Apyx Medical Corporation Common Stock,United States,,12219,Health Care,Medical/Dental Instruments
AQB,AquaBounty Technologies Inc. Common Stock,United States,,1179632,,
AQUA,Evoqua Water Technologies Corp. Common Stock,United States,2017,239844,Capital Goods,Office Equipment/Supplies/Services
ARAY,Accuray Incorporated Common Stock,United States,2007,372814,Health Care,Medical/Dental Instruments
ARCB,ArcBest Corporation Common Stock,United States,,91837,Transportation,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,United States,2004,855118,Finance,Finance/Investors Services
ARCH,Arch Resources Inc. Class A Common Stock,United States,2016,63161,Energy,Coal Mining
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,2012,16302,,
ARDX,Ardelyx Inc. Common Stock,United States,2014,485693,Health Care,Major Pharmaceuticals
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,,57742,Consumer Services,Real Estate Investment Trusts
ARI,Apollo Commercial Real Estate Finance Inc,United States,2009,261836,Consumer Services,Real Estate Investment Trusts
ARKO,ARKO Corp. Common Stock,United States,,117435,Consumer Services,Food Chains
ARLO,Arlo Technologies Inc. Common Stock,United States,2018,356296,Miscellaneous,Diversified Manufacture
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,1999,157855,Energy,Coal Mining
ARNA,Arena Pharmaceuticals Inc. Common Stock,United States,2000,73026,Health Care,Major Pharmaceuticals
AROC,Archrock Inc. Common Stock,United States,,209224,Energy,Oil & Gas Production
AROW,Arrow Financial Corporation Common Stock,United States,,6182,Finance,Major Banks
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,2020,153695,Health Care,Major Pharmaceuticals
ARR,ARMOUR Residential REIT Inc.,United States,,796958,Consumer Services,Real Estate Investment Trusts
ARRW,Arrowroot Acquisition Corp. Class A common stock,United States,2021,410,,
ARRY,Array Technologies Inc. Common Stock,United States,2020,578924,Technology,Semiconductors
ARTNA,Artesian Resources Corporation Class A Common Stock,United States,,1623,Public Utilities,Water Supply
ARVN,Arvinas Inc. Common Stock,United States,2018,56854,Health Care,Major Pharmaceuticals
ARW,Arrow Electronics Inc. Common Stock,United States,,100914,Technology,Electronic Components
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,United States,,194797,Health Care,Major Pharmaceuticals
ASA,ASA  Gold and Precious Metals Limited,United States,,26559,Basic Industries,Precious Metals
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,United States,2020,2680,,
ASB,Associated Banc-Corp Common Stock,United States,,295413,Finance,Major Banks
ASG,Liberty All-Star Growth Fund Inc.,United States,,168537,,
ASGN,ASGN Incorporated Common Stock,United States,1992,15571,Technology,Diversified Commercial Services
ASH,Ashland Global Holdings Inc. Common Stock,United States,,63627,Basic Industries,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,United States,2016,54062,Basic Industries,Major Chemicals
ASLE,AerSale Corporation Common Stock,United States,2019,7066,Transportation,Aerospace
ASO,Academy Sports and Outdoors Inc. Common Stock,United States,2020,686675,Consumer Non-Durables,Recreational Products/Toys
ASPN,Aspen Aerogels Inc. Common Stock,United States,2014,56586,Capital Goods,Wholesale Distributors
ASTE,Astec Industries Inc. Common Stock,United States,1986,14355,Capital Goods,Construction/Ag Equipment/Trucks
ASTS,AST SpaceMobile Inc. Class A Common Stock,United States,2019,401884,Consumer Services,Telecommunications Equipment
ASXC,Asensus Surgical Inc. Common Stock,United States,,5118372,Health Care,Medical/Dental Instruments
ATAC,Altimar Acquisition Corporation Class A Ordinary Shares,United States,2020,308589,Finance,Investment Managers
ATAX,America First Multifamily Investors L.P. Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests,United States,,22656,Finance,Finance: Consumer Services
ATCX,Atlas Technical Consultants Inc. Class A Common Stock,United States,2019,14786,Consumer Services,Military/Government/Technical
ATEC,Alphatec Holdings Inc. Common Stock,United States,2006,269524,Health Care,Medical/Dental Instruments
ATER,Aterian Inc. Common Stock,United States,2019,607866,Capital Goods,Industrial Machinery/Components
ATEX,Anterix Inc. Common Stock,United States,2015,23958,Consumer Services,Telecommunications Equipment
ATGE,Adtalem Global Education Inc. Common Stock,United States,,82915,Miscellaneous,Other Consumer Services
ATHA,Athira Pharma Inc. Common Stock,United States,2020,47890,Consumer Durables,Specialty Chemicals
ATHX,Athersys Inc. Common Stock,United States,,1736970,Health Care,Major Pharmaceuticals
ATI,Allegheny Technologies Incorporated Common Stock,United States,,209417,Basic Industries,Steel/Iron Ore
ATKR,Atkore Inc. Common Stock,United States,2016,298316,Technology,Electrical Products
ATLC,Atlanticus Holdings Corporation Common Stock,United States,1995,14616,Finance,Finance: Consumer Services
ATNI,ATN International Inc. Common Stock,United States,,3535,Public Utilities,Telecommunications Equipment
ATNX,Athenex Inc. Common Stock,United States,2017,1106882,Health Care,Major Pharmaceuticals
ATO,Atmos Energy Corporation Common Stock,United States,,178067,Public Utilities,Oil/Gas Transmission
ATOM,Atomera Incorporated Common Stock,United States,2016,256461,Technology,Semiconductors
ATOS,Atossa Therapeutics Inc. Common Stock,United States,2012,5420851,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ATR,AptarGroup Inc. Common Stock,United States,,31257,Capital Goods,Office Equipment/Supplies/Services
ATRA,Atara Biotherapeutics Inc. Common Stock,United States,2014,142247,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,AtriCure Inc. Common Stock,United States,2005,89687,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation Common Stock,United States,,700,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation Common Stock,United States,,50961,Capital Goods,Military/Government/Technical
ATRS,Antares Pharma Inc. Common Stock,United States,,289657,Health Care,Medical/Dental Instruments
ATSG,Air Transport Services Group Inc,United States,,96374,,
ATUS,Altice USA Inc. Class A Common Stock,United States,2017,577452,Public Utilities,Telecommunications Equipment
ATVI,Activision Blizzard Inc. Common Stock,United States,,2373403,Technology,Computer Software: Prepackaged Software
AUB,Atlantic Union Bankshares Corporation Common Stock,United States,,23784,Finance,Major Banks
AUD,Audacy Common Stock,United States,,250036,Consumer Services,Broadcasting
AVA,Avista Corporation Common Stock,United States,,44896,Public Utilities,Power Generation
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,United States,2021,135299,Health Care,Hospital/Nursing Management
AVAV,AeroVironment Inc. Common Stock,United States,2007,52520,Capital Goods,Aerospace
AVB,AvalonBay Communities Inc. Common Stock,United States,,102715,Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,,43141,Basic Industries,Agricultural Chemicals
AVGO,Broadcom Inc. Common Stock,United States,2009,613186,Technology,Semiconductors
AVID,Avid Technology Inc. Common Stock,United States,1993,271881,Technology,Computer Software: Prepackaged Software
AVIR,Atea Pharmaceuticals Inc. Common Stock,United States,2020,187501,Consumer Durables,Specialty Chemicals
AVK,Advent Convertible and Income Fund,United States,2003,22229,,
AVLR,Avalara Inc. Common Stock,United States,2018,257148,Technology,EDP Services
AVNS,Avanos Medical Inc. Common Stock,United States,2014,469129,Health Care,Industrial Specialties
AVNT,Avient Corporation Common Stock,United States,,112851,Basic Industries,Major Chemicals
AVNW,Aviat Networks Inc. Common Stock,United States,,121689,Capital Goods,Telecommunications Equipment
AVO,Mission Produce Inc. Common Stock,United States,2020,41105,,
AVRO,AVROBIO Inc. Common Stock,United States,2018,558764,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVT,Avnet Inc. Common Stock,United States,,254351,Technology,Electronic Components
AVXL,Anavex Life Sciences Corp. Common Stock,United States,,306407,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AVY,Avery Dennison Corporation Common Stock,United States,,177192,Miscellaneous,Office Equipment/Supplies/Services
AWF,Alliancebernstein Global High Income Fund,United States,1993,49290,,
AWH,Aspira Women's Health Inc. Common Stock,United States,,96799,Health Care,Medical/Dental Instruments
AWI,Armstrong World Industries Inc Common Stock,United States,,56230,,
AWK,American Water Works Company Inc. Common Stock,United States,2008,129389,Public Utilities,Water Supply
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,United States,2007,108969,,
AWR,American States Water Company Common Stock,United States,,28898,Public Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,United States,2018,35832,Finance,Savings Institutions
AXDX,Accelerate Diagnostics Inc. Common Stock,United States,,45828,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AXGN,Axogen Inc. Common Stock,United States,,102520,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,,462262,Capital Goods,Auto Parts:O.E.M.
