Symbol,Name,Country,IPO Year,Volume,Sector,Industry
SSPK,Silver Spike Acquisition Corp. Class A Ordinary Shares,United States,2019,195439,Technology,Computer Software: Prepackaged Software
SSSS,SuRo Capital Corp. Common Stock,United States,2011,251257,Finance,Finance/Investors Services
SSTI,ShotSpotter Inc. Common Stock,United States,2017,36280,Technology,Computer Software: Prepackaged Software
SSTK,Shutterstock Inc. Common Stock,United States,2012,80426,,
SSYS,Stratasys Ltd. Ordinary Shares (Israel),United States,1994,1102371,Technology,Computer peripheral equipment
STAA,STAAR Surgical Company Common Stock,United States,,228378,Health Care,Ophthalmic Goods
STAG,Stag Industrial Inc. Common Stock,United States,2011,315921,Consumer Services,Real Estate Investment Trusts
STAR          ,iStar Inc. Common Stock,United States,,85530,Consumer Services,Real Estate Investment Trusts
STAY,Extended Stay America Inc. Paired Shares,United States,,164989,Consumer Services,Hotels/Resorts
STBA,S&T Bancorp Inc. Common Stock,United States,,16744,Finance,Major Banks
STC,Stewart Information Services Corporation Common Stock,United States,,18324,Finance,Specialty Insurers
STE,STERIS plc (Ireland) Ordinary Shares,United States,,203894,Health Care,Industrial Specialties
STEM,Stem Inc. Class A Common Stock,United States,2020,868278,,
STEP,StepStone Group Inc. Class A Common Stock,United States,2020,14061,Finance,Finance/Investors Services
STFC,State Auto Financial Corporation Common Stock,United States,1991,11637,Finance,Property-Casualty Insurers
STIM,Neuronetics Inc. Common Stock,United States,2018,121996,Health Care,Managed Health Care
STK,Columbia Seligman Premium Technology Growth Fund Inc,United States,2009,51721,,
STL,Sterling Bancorp,United States,,786924,Finance,Major Banks
STLD,Steel Dynamics Inc.,United States,1996,1142004,Basic Industries,Steel/Iron Ore
STMP,Stamps.com Inc.  Common Stock ($0.001 Par Value),United States,1999,86741,Technology,EDP Services
STOK,Stoke Therapeutics Inc. Common Stock,United States,2019,68563,Health Care,Major Pharmaceuticals
STON,StoneMor Inc. Common Stock,United States,2004,189587,,
STOR,STORE Capital Corporation Common Stock,United States,2014,262153,Consumer Services,Real Estate Investment Trusts
STRA,Strategic Education Inc. Common Stock,United States,1996,26143,Miscellaneous,Service to the Health Industry
STRL,Sterling Construction Company Inc Common Stock,United States,,64857,Capital Goods,Oilfield Services/Equipment
STRO,Sutro Biopharma Inc. Common Stock,United States,2018,96074,Health Care,Major Pharmaceuticals
STT,State Street Corporation Common Stock,United States,,515899,Finance,Investment Managers
STTK,Shattuck Labs Inc. Common Stock,United States,2020,28533,Health Care,Major Pharmaceuticals
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,United States,2009,893562,Consumer Services,Real Estate Investment Trusts
STWO,ACON S2 Acquisition Corp. Class A Ordinary Shares,United States,2020,41442,Finance,Business Services
STXB,Spirit of Texas Bancshares Inc. Common Stock,United States,2018,5923,Finance,Commercial Banks
STXS,Stereotaxis Inc. Common Stock,United States,,156766,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
STZ,Constellation Brands Inc. Common Stock,United States,,301089,Consumer Non-Durables,Beverages (Production/Distribution)
SUI,Sun Communities Inc. Common Stock,United States,1993,50325,Consumer Services,Real Estate Investment Trusts
SUM,Summit Materials Inc. Class A Common Stock,United States,2015,360177,Capital Goods,Building Materials
SUMO,Sumo Logic Inc. Common Stock,United States,2020,310869,Technology,Retail: Computer Software & Peripheral Equipment
SUN,Sunoco LP Common Units representing limited partner interests,United States,2012,274483,Energy,Oil Refining/Marketing
SUPN,Supernus Pharmaceuticals Inc. Common Stock,United States,2012,89927,Health Care,Major Pharmaceuticals
SVAC,Starboard Value Acquisition Corp. Class A Common Stock,United States,2020,70147,,
SVC,Service Properties Trust Common Stock,United States,,424912,Consumer Services,Real Estate Investment Trusts
SVFA,SVF Investment Corp. Class A Ordinary Shares,United States,2021,240865,Finance,Business Services
SVFC,SVF Investment Corp. 3 Class A Ordinary Shares,United States,2021,3681,Finance,Business Services
SVMK,SVMK Inc. Common Stock,United States,2018,115883,Technology,EDP Services
SVOK,Seven Oaks Acquisition Corp. Class A Common Stock,United States,2021,24439,,
SWAV,ShockWave Medical Inc. Common Stock,United States,2019,376955,Health Care,Medical/Dental Instruments
SWBI,Smith & Wesson Brands Inc. Common Stock,United States,,263363,Consumer Non-Durables,Ordnance And Accessories
SWET,Athlon Acquisition Corp. Class A Common stock,United States,2021,16707,,
SWI,SolarWinds Corporation Common Stock,United States,2018,254125,Technology,Computer Software: Prepackaged Software
SWIM,Latham Group Inc. Common Stock,United States,2021,115858,Capital Goods,Engineering & Construction
SWK,Stanley Black & Decker Inc. Common Stock,United States,,190218,Capital Goods,Diversified Manufacture
SWKS,Skyworks Solutions Inc. Common Stock,United States,,907364,Technology,Semiconductors
SWM,Schweitzer-Mauduit International Inc. Common Stock,United States,,16740,Basic Industries,Paper
SWN,Southwestern Energy Company Common Stock,United States,,4148309,Energy,Oil & Gas Production
SWTX,SpringWorks Therapeutics Inc. Common Stock,United States,2019,52055,Health Care,Major Pharmaceuticals
SWX,Southwest Gas Holdings Inc. Common Stock (DE),United States,,46092,Public Utilities,Oil & Gas Production
SXC,SunCoke Energy Inc. Common Stock,United States,2011,364496,,
SXI,Standex International Corporation Common Stock,United States,,8966,Capital Goods,Industrial Machinery/Components
SXT,Sensient Technologies Corporation Common Stock,United States,,18369,Basic Industries,Major Chemicals
SYBT,Stock Yards Bancorp Inc. Common Stock,United States,,8973,Finance,Major Banks
SYF,Synchrony Financial Common Stock,United States,2014,1892219,Finance,Diversified Financial Services
SYK,Stryker Corporation Common Stock,United States,,146416,Health Care,Medical/Dental Instruments
SYKE,Sykes Enterprises Incorporated Common Stock,United States,1996,15537,Technology,EDP Services
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,United States,2002,116708,Technology,Computer peripheral equipment
SYNH,Syneos Health Inc. Class A Common Stock,United States,2014,302316,Health Care,Biotechnology: Commercial Physical & Biological Resarch
SYRS,Syros Pharmaceuticals Inc. Common Stock,United States,2016,211178,Health Care,Major Pharmaceuticals
SYX,Systemax Inc. Common Stock,United States,,7186,Technology,Industrial Machinery/Components
SYY,Sysco Corporation Common Stock,United States,,291829,Consumer Non-Durables,Food Distributors
T,AT&T Inc.,United States,,9645906,Consumer Services,Telecommunications Equipment
TA,TravelCenters of America Inc. Common Stock,United States,,33729,Consumer Services,Food Chains
TACO,Del Taco Restaurants Inc. Common Stock,United States,2014,65148,Consumer Services,Restaurants
TARS,Tarsus Pharmaceuticals Inc. Common Stock,United States,2020,8356,Consumer Durables,Specialty Chemicals
TBBK,The Bancorp Inc Common Stock,United States,,207611,Finance,Major Banks
TBCP,Thunder Bridge Capital Partners III Inc. Class A Common Stock,United States,2021,4,,
TBI,TrueBlue Inc. Common Stock,United States,,25375,Technology,Professional Services
TBIO,Translate Bio Inc. Common Stock,United States,2000,656832,Consumer Durables,Specialty Chemicals
TBK,Triumph Bancorp Inc. Common Stock,United States,2014,23620,Finance,Major Banks
